frame,video_time_s,r_state,r_reason,valid_candidates,target_id,track_state,event,reason,lost_frames,lock_active,selected_index,r_x,r_y,target_x,target_y,target_radius,dx_img,dy_img,distance_px,angle_rad,angle_deg,angle_error_deg
199,6.633333,detected,OK,1,1,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,754.000000,487.500000,760.500000,698.500000,40.099998,6.500000,211.000000,211.100095,-1.540000,-88.235522,
293,9.766667,detected,OK,0,1,lost,LOST,NO_VALID_TARGET,1,1,,850.000000,487.500000,,,,,,,,,
294,9.800000,detected,OK,1,1,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,847.500000,511.500000,709.500000,664.500000,37.200001,-138.000000,153.000000,206.041258,-2.304694,-132.049221,2.005908
299,9.966667,detected,OK,0,1,lost,LOST,NO_VALID_TARGET,1,1,,858.000000,537.500000,,,,,,,,,
300,10.000000,detected,OK,1,1,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,857.500000,522.500000,713.500000,667.500000,37.099998,-144.000000,145.000000,204.355083,-2.352734,-134.801745,1.444807
311,10.366667,detected,OK,0,1,lost,LOST,NO_VALID_TARGET,1,1,,871.500000,549.500000,,,,,,,,,
312,10.400000,detected,OK,1,1,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,872.000000,551.500000,714.500000,680.500000,34.400002,-157.500000,129.000000,203.585977,-2.455345,-140.680891,1.312855
411,13.700000,detected,OK,0,1,lost,LOST,NO_VALID_TARGET,1,1,,846.000000,719.000000,,,,,,,,,
412,13.733333,detected,OK,1,1,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,844.500000,723.500000,673.500000,694.500000,32.200001,-171.000000,-29.000000,173.441633,2.973600,170.374752,0.491243
442,14.733333,detected,OK,0,1,lost,LOST,NO_VALID_TARGET,1,1,,802.000000,735.500000,,,,,,,,,
443,14.766667,detected,OK,1,1,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,798.000000,735.500000,650.500000,655.500000,32.099998,-147.500000,-80.000000,167.798242,2.644624,151.525796,0.494071
449,14.966667,detected,OK,0,1,lost,LOST,NO_VALID_TARGET,1,1,,785.500000,739.000000,,,,,,,,,
450,15.000000,detected,OK,1,1,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,783.500000,739.000000,645.500000,647.500000,34.900002,-138.000000,-91.500000,165.578531,2.556103,146.453891,3.481192
458,15.266667,detected,OK,0,1,lost,LOST,NO_VALID_TARGET,1,1,,771.500000,753.000000,,,,,,,,,
465,15.500000,detected,OK,1,1,lost,RELEASED,NO_MATCH,8,0,,760.000000,763.000000,,,,,,,,,
466,15.533333,detected,OK,1,2,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,743.000000,723.500000,949.500000,765.500000,36.599998,206.500000,42.000000,210.727905,-0.200653,-11.496563,
538,17.933333,detected,OK,1,2,lost,LOST,NO_MATCH,1,1,,607.500000,411.000000,,,,,,,,,
545,18.166667,detected,OK,1,2,lost,RELEASED,NO_MATCH,8,0,,703.000000,459.500000,,,,,,,,,
546,18.200000,detected,OK,1,3,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,752.000000,488.000000,644.500000,665.500000,38.500000,-107.500000,177.500000,207.515060,-2.115348,-121.200515,
579,19.300000,detected,OK,0,3,lost,LOST,NO_VALID_TARGET,1,1,,865.000000,555.500000,,,,,,,,,
580,19.333333,detected,OK,1,3,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,867.000000,554.500000,716.500000,690.500000,34.900002,-150.500000,136.000000,202.845384,-2.406762,-137.897314,1.771075
623,20.766667,detected,OK,0,3,lost,LOST,NO_VALID_TARGET,1,1,,888.000000,630.000000,,,,,,,,,
630,21.000000,detected,OK,1,3,lost,RELEASED,NO_MATCH,8,0,,876.500000,631.500000,,,,,,,,,
631,21.033333,detected,OK,1,4,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,862.000000,613.000000,1052.500000,708.500000,36.599998,190.500000,95.500000,213.097396,-0.464697,-26.625173,
704,23.466667,detected,OK,0,4,lost,LOST,NO_VALID_TARGET,1,1,,672.500000,405.500000,,,,,,,,,
711,23.700000,detected,OK,1,4,lost,RELEASED,NO_MATCH,8,0,,682.500000,454.500000,,,,,,,,,
712,23.733333,detected,OK,1,5,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,672.000000,494.000000,743.500000,338.500000,35.099998,71.500000,-155.500000,171.150519,1.139817,65.306694,
786,26.200000,detected,OK,0,5,lost,LOST,NO_VALID_TARGET,1,1,,488.000000,629.500000,,,,,,,,,
793,26.433333,detected,OK,0,5,lost,RELEASED,NO_VALID_TARGET,8,0,,484.500000,621.000000,,,,,,,,,
