frame,r_state,r_reason,r_x,r_y,r_score,candidate_count,local_index,target_x,target_y,target_radius,geometry_valid,dx_img,dy_img,distance_px,angle_rad,angle_deg
86,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
87,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
88,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
89,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
90,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
91,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
92,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
93,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
94,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
95,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
96,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
97,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
98,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
99,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
100,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
101,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
102,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
103,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
104,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
105,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
106,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
107,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
108,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
109,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
110,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
111,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
112,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
113,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
114,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
115,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
116,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
117,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
118,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
119,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
120,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
121,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
122,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
123,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
124,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
125,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
126,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
127,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
128,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
129,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
130,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
131,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
132,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
133,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
134,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
135,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
136,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
137,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
138,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
139,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
140,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
141,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
142,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
143,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
144,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
145,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
146,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
147,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
148,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
149,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
150,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
151,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
152,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
153,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
154,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
155,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
156,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
157,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
158,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
159,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
160,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
161,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
162,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
163,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
164,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
165,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
166,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
167,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
168,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
169,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
170,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
171,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
172,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
173,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
174,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
175,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
176,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
177,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
178,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
179,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
180,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
181,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
182,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
183,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
184,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
185,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
186,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
187,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
188,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
189,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
190,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
191,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
192,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
