frame,video_time_s,r_state,r_reason,valid_candidates,target_id,track_state,event,reason,lost_frames,lock_active,selected_index,r_x,r_y,target_x,target_y,target_radius,dx_img,dy_img,distance_px,angle_rad,angle_deg,angle_error_deg
55,1.833333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
56,1.866667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
57,1.900000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
58,1.933333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
59,1.966667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
60,2.000000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
61,2.033333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
62,2.066667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
63,2.100000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
64,2.133333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
65,2.166667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
66,2.200000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
67,2.233333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
68,2.266667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
69,2.300000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
70,2.333333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
71,2.366667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
72,2.400000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
73,2.433333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
74,2.466667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
75,2.500000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
76,2.533333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
77,2.566667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
78,2.600000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
79,2.633333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
80,2.666667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
81,2.700000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
82,2.733333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
83,2.766667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
84,2.800000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
85,2.833333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
86,2.866667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
87,2.900000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
88,2.933333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
89,2.966667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
90,3.000000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
91,3.033333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
92,3.066667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
93,3.100000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
94,3.133333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
95,3.166667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
96,3.200000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
97,3.233333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
98,3.266667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
99,3.300000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
100,3.333333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
101,3.366667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
102,3.400000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
103,3.433333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
104,3.466667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
105,3.500000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
106,3.533333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
107,3.566667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
108,3.600000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
109,3.633333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
110,3.666667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
111,3.700000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
112,3.733333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
113,3.766667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
114,3.800000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
115,3.833333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
116,3.866667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
117,3.900000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
118,3.933333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
119,3.966667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
120,4.000000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
121,4.033333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
122,4.066667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
123,4.100000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
124,4.133333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
125,4.166667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
126,4.200000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
127,4.233333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
128,4.266667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
129,4.300000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
130,4.333333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
131,4.366667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
132,4.400000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
133,4.433333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
134,4.466667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
135,4.500000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
