frame,video_time_s,r_state,r_reason,valid_candidates,target_id,track_state,event,reason,lost_frames,lock_active,selected_index,r_x,r_y,target_x,target_y,target_radius,dx_img,dy_img,distance_px,angle_rad,angle_deg,angle_error_deg
0,0.000000,detected,OK,2,1,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,790.000000,757.500000,640.500000,908.500000,40.200001,-149.500000,151.000000,212.488235,-2.351203,-134.714000,
1,0.033333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,792.000000,754.000000,646.500000,906.500000,38.000000,-145.500000,152.500000,210.775947,-2.332709,-133.654373,1.059627
2,0.066667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,793.000000,751.500000,648.500000,906.500000,39.400002,-144.500000,155.000000,211.908589,-2.321150,-132.992122,0.397375
3,0.100000,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,807.000000,741.500000,683.500000,914.500000,38.000000,-123.500000,173.000000,212.558815,-2.190772,-125.522010,6.569435
4,0.133333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,1,808.000000,743.500000,684.500000,918.500000,35.299999,-123.500000,175.000000,214.189752,-2.185347,-125.211165,3.029561
5,0.166667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,1,808.000000,743.500000,687.500000,921.500000,37.099998,-120.500000,178.000000,214.951739,-2.165896,-124.096676,1.014092
6,0.200000,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,816.500000,743.500000,700.500000,925.500000,38.000000,-116.000000,182.000000,215.824002,-2.138236,-122.511914,0.138183
7,0.233333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,819.000000,743.000000,707.500000,926.500000,39.599998,-111.500000,183.500000,214.719585,-2.116807,-121.284097,0.439854
8,0.266667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,821.500000,743.000000,711.500000,926.500000,40.200001,-110.000000,183.500000,213.944502,-2.110815,-120.940792,1.148425
9,0.300000,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,824.000000,743.500000,717.500000,927.500000,38.500000,-106.500000,184.000000,212.598801,-2.095485,-120.062445,0.154013
10,0.333333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,1,826.000000,743.500000,720.500000,930.500000,34.400002,-105.500000,187.000000,214.707359,-2.084454,-119.430436,0.338746
11,0.366667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,1,836.000000,742.500000,736.500000,931.500000,36.900002,-99.500000,189.000000,213.591315,-2.055383,-117.764787,0.830392
12,0.400000,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,1,837.000000,741.500000,740.500000,935.500000,36.400002,-96.500000,194.000000,216.675449,-2.032380,-116.446794,0.150580
13,0.433333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,839.000000,741.500000,744.500000,935.500000,40.500000,-94.500000,194.000000,215.792145,-2.024082,-115.971334,0.752185
14,0.466667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,841.500000,739.000000,750.500000,935.500000,35.799999,-91.000000,196.500000,216.548493,-2.004494,-114.849059,0.195504
15,0.500000,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,842.000000,737.500000,755.500000,936.500000,37.700001,-86.500000,199.000000,216.986751,-1.980832,-113.493301,0.350784
16,0.533333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,846.500000,725.500000,773.500000,929.500000,37.900002,-73.000000,204.000000,216.667949,-1.914441,-109.689400,2.658614
17,0.566667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,847.000000,725.500000,773.500000,928.500000,40.799999,-73.500000,203.000000,215.896387,-1.918182,-109.903750,2.423081
18,0.600000,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,848.000000,723.500000,777.500000,927.500000,40.500000,-70.500000,204.000000,215.838481,-1.903535,-109.064547,0.400298
19,0.633333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,860.000000,708.000000,811.500000,918.500000,40.000000,-48.500000,210.500000,216.015046,-1.797248,-102.974736,5.010430
20,0.666667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,1,861.000000,708.000000,813.500000,918.500000,40.799999,-47.500000,210.500000,215.792725,-1.792732,-102.716001,2.824818
21,0.700000,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,1,862.000000,709.000000,815.500000,921.500000,36.000000,-46.500000,212.500000,217.528159,-1.786224,-102.343108,1.580732
22,0.733333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,1,868.500000,707.500000,846.500000,923.500000,38.299999,-22.000000,216.000000,217.117480,-1.672298,-95.815627,5.206148
23,0.766667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,868.500000,707.500000,845.500000,923.500000,41.000000,-23.000000,216.000000,217.221086,-1.676878,-96.078037,3.666203
24,0.800000,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,869.000000,707.500000,847.500000,923.500000,40.900002,-21.500000,216.000000,217.067386,-1.670007,-95.684329,1.543603
25,0.833333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,1,874.500000,691.000000,873.500000,909.500000,38.799999,-1.000000,218.500000,218.502288,-1.575373,-90.262221,4.102237
26,0.866667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,876.000000,689.000000,874.500000,906.500000,41.000000,-1.500000,217.500000,217.505172,-1.577693,-90.395137,3.093681
27,0.900000,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,876.000000,689.000000,877.500000,905.500000,40.799999,1.500000,216.500000,216.505196,-1.563868,-89.603038,0.931194
28,0.933333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,877.500000,691.500000,893.500000,907.500000,41.400002,16.000000,216.000000,216.591782,-1.496857,-85.763605,2.488617
29,0.966667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,878.500000,692.500000,896.500000,908.500000,40.900002,18.000000,216.000000,216.748702,-1.487655,-85.236358,1.819015
30,1.000000,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,878.500000,693.500000,901.500000,909.500000,39.099998,23.000000,216.000000,217.221086,-1.464715,-83.921963,0.304261
31,1.033333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,878.500000,695.500000,912.500000,911.500000,38.500000,34.000000,216.000000,218.659553,-1.414670,-81.054618,1.370393
32,1.066667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,878.500000,695.500000,911.500000,911.500000,36.000000,33.000000,216.000000,218.506293,-1.419191,-81.313645,2.304136
33,1.100000,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,878.500000,695.000000,913.500000,911.500000,36.299999,35.000000,216.500000,219.310852,-1.410520,-80.816853,0.626662
34,1.133333,detected,OK,1,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,856.500000,608.500000,893.500000,821.500000,41.200001,37.000000,213.000000,216.189731,-1.398804,-80.145545,0.201482
35,1.166667,detected,OK,1,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,834.500000,574.500000,868.500000,784.500000,39.799999,34.000000,210.000000,212.734576,-1.410284,-80.803344,1.449995
36,1.200000,detected,OK,1,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,812.500000,544.500000,846.500000,754.500000,40.799999,34.000000,210.000000,212.734576,-1.410284,-80.803344,0.212199
37,1.233333,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,791.000000,517.500000,825.500000,727.500000,40.900002,34.500000,210.000000,212.815061,-1.407965,-80.670460,0.005565
38,1.266667,detected,OK,2,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,769.500000,493.500000,800.500000,702.500000,37.700001,31.000000,209.000000,211.286535,-1.423545,-81.563096,1.022181
39,1.300000,detected,OK,1,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,650.000000,418.000000,685.500000,625.500000,39.799999,35.500000,207.500000,210.514845,-1.401352,-80.291583,1.550840
40,1.333333,detected,OK,1,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,637.000000,404.000000,673.500000,611.500000,34.200001,36.500000,207.500000,210.685785,-1.396674,-80.023527,0.072954
41,1.366667,detected,OK,1,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,623.500000,390.000000,659.500000,598.500000,40.299999,36.000000,208.500000,211.585089,-1.399820,-80.203790,0.492090
42,1.400000,detected,OK,1,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,612.500000,377.500000,647.500000,584.500000,40.000000,35.000000,207.000000,209.938086,-1.403298,-80.403076,0.314277
43,1.433333,detected,OK,1,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,603.000000,370.000000,640.500000,578.500000,34.799999,37.500000,208.500000,211.845463,-1.392843,-79.804012,0.609783
44,1.466667,detected,OK,1,1,detected,TRACKED,MATCHED_EXISTING_ID,0,1,0,597.500000,379.500000,640.500000,586.500000,34.900002,43.000000,207.000000,211.419015,-1.365980,-78.264875,1.305943
