frame,r_state,r_reason,r_x,r_y,r_score,candidate_count,local_index,target_x,target_y,target_radius,geometry_valid,dx_img,dy_img,distance_px,angle_rad,angle_deg
0,detected,OK,790.000000,757.500000,0.881567,2,0,640.500000,908.500000,40.200001,1,-149.500000,151.000000,212.488235,-2.351203,-134.714000
0,detected,OK,790.000000,757.500000,0.881567,2,1,830.500000,598.500000,32.900002,1,40.500000,-159.000000,164.076964,1.321383,75.709675
1,detected,OK,792.000000,754.000000,0.846639,2,0,646.500000,906.500000,38.000000,1,-145.500000,152.500000,210.775947,-2.332709,-133.654373
1,detected,OK,792.000000,754.000000,0.846639,2,1,832.500000,593.500000,34.599998,1,40.500000,-160.500000,165.530964,1.323620,75.837832
2,detected,OK,793.000000,751.500000,0.879688,2,0,648.500000,906.500000,39.400002,1,-144.500000,155.000000,211.908589,-2.321150,-132.992122
2,detected,OK,793.000000,751.500000,0.879688,2,1,829.500000,593.500000,33.799999,1,36.500000,-158.000000,162.161185,1.343766,76.992142
3,detected,OK,807.000000,741.500000,0.878633,2,0,683.500000,914.500000,38.000000,1,-123.500000,173.000000,212.558815,-2.190772,-125.522010
3,detected,OK,807.000000,741.500000,0.878633,2,1,820.500000,579.500000,34.700001,1,13.500000,-162.000000,162.561527,1.487655,85.236358
4,detected,OK,808.000000,743.500000,0.882442,2,0,818.500000,579.500000,33.799999,1,10.500000,-164.000000,164.335784,1.506859,86.336673
4,detected,OK,808.000000,743.500000,0.882442,2,1,684.500000,918.500000,35.299999,1,-123.500000,175.000000,214.189752,-2.185347,-125.211165
5,detected,OK,808.000000,743.500000,0.880760,2,0,817.500000,578.500000,34.400002,1,9.500000,-165.000000,165.273259,1.513284,86.704790
5,detected,OK,808.000000,743.500000,0.880760,2,1,687.500000,921.500000,37.099998,1,-120.500000,178.000000,214.951739,-2.165896,-124.096676
6,detected,OK,816.500000,743.500000,0.910006,2,0,700.500000,925.500000,38.000000,1,-116.000000,182.000000,215.824002,-2.138236,-122.511914
6,detected,OK,816.500000,743.500000,0.910006,2,1,810.500000,582.500000,34.299999,1,-6.000000,-161.000000,161.111762,1.608046,92.134259
7,detected,OK,819.000000,743.000000,0.906885,2,0,707.500000,926.500000,39.599998,1,-111.500000,183.500000,214.719585,-2.116807,-121.284097
7,detected,OK,819.000000,743.000000,0.906885,2,1,814.500000,579.500000,34.400002,1,-4.500000,-163.500000,163.561915,1.598312,91.576550
8,detected,OK,821.500000,743.000000,0.879555,2,0,711.500000,926.500000,40.200001,1,-110.000000,183.500000,213.944502,-2.110815,-120.940792
8,detected,OK,821.500000,743.000000,0.879555,2,1,810.500000,578.500000,34.900002,1,-11.000000,-164.500000,164.867371,1.637566,93.825633
9,detected,OK,824.000000,743.500000,0.882507,2,0,717.500000,927.500000,38.500000,1,-106.500000,184.000000,212.598801,-2.095485,-120.062445
9,detected,OK,824.000000,743.500000,0.882507,2,1,816.500000,579.500000,33.299999,1,-7.500000,-164.000000,164.171404,1.616496,92.618409
10,detected,OK,826.000000,743.500000,0.880995,2,0,812.500000,583.500000,31.500000,1,-13.500000,-160.000000,160.568521,1.654972,94.822908
10,detected,OK,826.000000,743.500000,0.880995,2,1,720.500000,930.500000,34.400002,1,-105.500000,187.000000,214.707359,-2.084454,-119.430436
11,detected,OK,836.000000,742.500000,0.879163,2,0,816.500000,579.500000,34.900002,1,-19.500000,-163.000000,164.162267,1.689862,96.821981
11,detected,OK,836.000000,742.500000,0.879163,2,1,736.500000,931.500000,36.900002,1,-99.500000,189.000000,213.591315,-2.055383,-117.764787
12,detected,OK,837.000000,741.500000,0.879047,2,0,814.500000,582.500000,32.099998,1,-22.500000,-159.000000,160.584090,1.711372,98.054414
12,detected,OK,837.000000,741.500000,0.879047,2,1,740.500000,935.500000,36.400002,1,-96.500000,194.000000,216.675449,-2.032380,-116.446794
13,detected,OK,839.000000,741.500000,0.879731,2,0,744.500000,935.500000,40.500000,1,-94.500000,194.000000,215.792145,-2.024082,-115.971334
13,detected,OK,839.000000,741.500000,0.879731,2,1,813.500000,580.500000,33.799999,1,-25.500000,-161.000000,163.006902,1.727877,99.000036
14,detected,OK,841.500000,739.000000,0.884110,2,0,750.500000,935.500000,35.799999,1,-91.000000,196.500000,216.548493,-2.004494,-114.849059
14,detected,OK,841.500000,739.000000,0.884110,2,1,814.500000,578.500000,33.500000,1,-27.000000,-160.500000,162.755184,1.737460,99.549134
15,detected,OK,842.000000,737.500000,0.882960,2,0,755.500000,936.500000,37.700001,1,-86.500000,199.000000,216.986751,-1.980832,-113.493301
15,detected,OK,842.000000,737.500000,0.882960,2,1,813.500000,576.500000,35.099998,1,-28.500000,-161.000000,163.503058,1.746000,100.038429
16,detected,OK,846.500000,725.500000,0.911562,2,0,773.500000,929.500000,37.900002,1,-73.000000,204.000000,216.667949,-1.914441,-109.689400
16,detected,OK,846.500000,725.500000,0.911562,2,1,803.500000,567.500000,32.200001,1,-43.000000,-158.000000,163.746756,1.836513,105.224430
17,detected,OK,847.000000,725.500000,0.881155,2,0,773.500000,928.500000,40.799999,1,-73.500000,203.000000,215.896387,-1.918182,-109.903750
17,detected,OK,847.000000,725.500000,0.881155,2,1,803.500000,567.500000,34.400002,1,-43.500000,-158.000000,163.878766,1.839457,105.393107
18,detected,OK,848.000000,723.500000,0.880448,2,0,777.500000,927.500000,40.500000,1,-70.500000,204.000000,215.838481,-1.903535,-109.064547
18,detected,OK,848.000000,723.500000,0.880448,2,1,799.500000,567.500000,32.200001,1,-48.500000,-156.000000,163.365388,1.872221,107.270335
19,detected,OK,860.000000,708.000000,0.851169,2,0,811.500000,918.500000,40.000000,1,-48.500000,210.500000,216.015046,-1.797248,-102.974736
19,detected,OK,860.000000,708.000000,0.851169,2,1,791.500000,557.500000,33.299999,1,-68.500000,-150.500000,165.355677,1.997924,114.472631
20,detected,OK,861.000000,708.000000,0.852239,2,0,793.500000,562.500000,32.000000,1,-67.500000,-145.500000,160.394825,2.005164,114.887412
20,detected,OK,861.000000,708.000000,0.852239,2,1,813.500000,918.500000,40.799999,1,-47.500000,210.500000,215.792725,-1.792732,-102.716001
21,detected,OK,862.000000,709.000000,0.908175,2,0,789.500000,562.500000,33.799999,1,-72.500000,-146.500000,163.457946,2.030340,116.329912
